row ID,row m/z,row retention time,blank.mzXML Peak area,33.mzXML Peak area,17.mzXML Peak area,31.mzXML Peak area,28.mzXML Peak area,08.mzXML Peak area,26.mzXML Peak area,32.mzXML Peak area,12.mzXML Peak area,15.mzXML Peak area,25.mzXML Peak area,11.mzXML Peak area,24.mzXML Peak area,20.mzXML Peak area,21.mzXML Peak area,19.mzXML Peak area,27.mzXML Peak area,16.mzXML Peak area,13.mzXML Peak area,30.mzXML Peak area,23.mzXML Peak area,01.mzXML Peak area,10.mzXML Peak area,35.mzXML Peak area,18.mzXML Peak area,14.mzXML Peak area,22.mzXML Peak area,36.mzXML Peak area,02.mzXML Peak area,07.mzXML Peak area,09.mzXML Peak area,03.mzXML Peak area,34.mzXML Peak area,29.mzXML Peak area,04.mzXML Peak area,05.mzXML Peak area,06.mzXML Peak area,
11,537.5354856849114,18.656400900900902,1.6020484936492467E8,1.3760538441711122E8,1.1647851181265816E8,1.2429722496870896E8,1.3481726851375133E8,1.3527532784585994E8,1.4170032505105594E8,1.332707438603491E8,1.3947449789847562E8,1.3913786648781335E8,1.421667064800757E8,1.3748120220949242E8,1.437908487670323E8,1.3512399434093675E8,1.330429192411743E8,1.2574020173660293E8,1.37893486851678E8,1.2630498695246252E8,1.2257808663468638E8,1.2261858420060606E8,1.395852832094505E8,1.367237329027714E8,1.214278795035564E8,1.2284040067394428E8,1.2394559240988344E8,1.3491304681503803E8,1.376345132696881E8,1.3205437900406396E8,1.3543525692077988E8,1.2492114530835897E8,1.2594350383933435E8,1.202245501827323E8,1.2592414005203085E8,1.3179235529089664E8,1.1338693486085892E8,1.2936700367714913E8,1.180473275853533E8,
12,321.3151551987053,17.17308108108108,1.2284620089585875E8,1.2367712679672118E8,1.3204281709046759E8,1.4163494455531254E8,1.480887570688495E8,1.3543177415511882E8,1.3931367643738174E8,1.2332315463927521E8,1.3878151202224725E8,1.4354254610433483E8,1.3853520467659023E8,1.3947850209703016E8,1.3588802403468612E8,1.2805199788550636E8,1.287997358224979E8,1.4119125576652688E8,1.3422452713222516E8,1.2781787238039333E8,1.367438038981041E8,1.3979563969824174E8,1.2563346790195328E8,1.3322943999609216E8,1.3640768984316373E8,1.4433379207494432E8,1.2844021522589901E8,1.3546861692445776E8,1.4095985373781168E8,1.2279749625488462E8,1.2829537578218773E8,1.4839368140644744E8,1.2716633880491988E8,1.269531248704325E8,1.404099212876171E8,1.3110849583125274E8,1.3678056580781403E8,1.2568518761989063E8,1.3417678688515559E8,
13,310.3104389222488,16.749018018018017,1.0377285731138402E8,2.2250237528370917E8,2.2869861673039973E8,2.2040023921449053E8,2.1799179273206976E8,2.291279334930557E8,2.0538032044979155E8,2.3513547138173658E8,2.1105418825190517E8,2.5593850160031688E8,1.936437318348707E8,2.2509089715205747E8,2.1256751510226762E8,2.3029346982086664E8,2.1598643362458712E8,2.1397375492978567E8,2.2346315990661678E8,2.1890633681922725E8,2.5300520271881434E8,1.917917222986395E8,1.969067685932294E8,2.230934580315318E8,2.2525803670345074E8,1.8582267075917834E8,2.32085740390115E8,2.3536465029204243E8,2.1553886312277606E8,2.057020237105922E8,2.4354491613760138E8,2.1876047002897745E8,2.1491047007306278E8,2.226338258525758E8,1.9873548954654205E8,1.9618084390077314E8,2.135797782223315E8,1.852494338904969E8,1.9090829352271235E8,
14,446.2537244448663,11.944298198198197,8.593778263148215E7,4.186799150294216E8,6.17633428332271E8,7.739595185620978E8,3.3357811250960135E8,3.4352603480781907E8,4.114666869712017E8,7.022056384716299E8,2.090606406492791E8,3.929540638893986E8,1.1501702337028162E8,5.3080486136753696E8,2.3401169507160243E8,6.396304869769034E8,3.9735270170723164E8,1.0834898604842684E9,3.42397640448424E8,2.716755124395476E8,2.4092623482766476E8,6.525192914671899E8,5.865395517233616E8,1.52049628880657E8,5.981217137361401E8,2.888684392645011E8,1.0028907970275629E9,6.026732121129369E8,6.071940435548966E8,1.4896751610316077E8,4.890130938941879E8,8.330439500769498E8,2.5854883383574522E8,3.1166978757166314E8,2.8228749709245336E8,7.706209400113049E8,2.6388457642164615E8,2.0505316935205036E8,7.671677396376889E8,
15,381.2974773141306,16.840891891891896,8.926338702016649E7,1.7284483748659396E8,1.859643799265623E8,1.2779433455943425E8,1.5832366829672882E8,1.9281819321778443E8,1.6416621230515692E8,1.436527445958367E8,1.9515191112508416E8,1.8960288091788995E8,1.83986184729381E8,2.18308231954848E8,1.7337119564102045E8,1.4944162986546835E8,1.5322797404214513E8,1.8103294730969307E8,1.5229787060920006E8,1.5690747426741612E8,1.7850332440094107E8,1.841142737227839E8,1.463599563011984E8,1.4130795006062475E8,1.6288806771177542E8,1.5961181741015178E8,2.1610470895312375E8,2.3253472869405892E8,1.6355955923031202E8,1.4597819205203387E8,1.754198258984422E8,1.7577626099624613E8,1.8658609243406227E8,1.716428694196836E8,1.7899372080918777E8,1.5866335199093813E8,1.5847147116906428E8,1.945003989328121E8,1.8033531759421617E8,
16,536.3661943212636,17.16892792792793,6.984333059078151E7,5.9140990014610134E7,6.369261178505798E7,6.357189264648405E7,6.217183927365237E7,6.0874619636797026E7,6.25111198982716E7,6.232414512728546E7,5.9197534492637336E7,6.158946268080011E7,5.6970467449139975E7,6.112699679021406E7,6.315780536898366E7,6.3828085913300164E7,5.709310938389557E7,6.202318062179817E7,5.9051371432225846E7,5.938524759470916E7,5.9660324382460065E7,6.128769784367121E7,5.852453156390651E7,5.891859266779214E7,6.198421493275341E7,6.527038622267762E7,5.856114141119102E7,5.903895023285403E7,5.983732871757745E7,5.76398822628918E7,6.0821312671210505E7,5.6730457750001125E7,5.838699358128805E7,5.770213393861432E7,5.558363854675793E7,5.702846029777447E7,6.130566543769516E7,5.880122771162129E7,5.7909246840234004E7,
17,708.5115016392541,18.17895945945946,6.5492754844842464E7,6.6444955252303876E7,7.602204328808475E7,6.712439018144542E7,6.916542223464814E7,7.217606849265602E7,7.86609050560548E7,7.391422593546757E7,7.53393589254282E7,6.64524096030476E7,7.748307691185392E7,6.62436608598437E7,7.808171699671909E7,7.28395434849216E7,7.671227348218918E7,7.530432536167854E7,7.260789241945297E7,7.222781213585886E7,7.602857556976658E7,7.937589453339875E7,7.455818476277216E7,7.29737341210533E7,7.3516890063827E7,7.927049545808716E7,7.741396717835964E7,7.14036727134772E7,7.711389606925683E7,7.934577256492138E7,6.4276359792578466E7,7.877564363671839E7,7.454411676722656E7,6.818185847581875E7,7.857564296163945E7,8.002402119543143E7,7.348764476183516E7,7.127646142619011E7,7.325404943886615E7,
18,565.5667106755916,19.33252252252252,1.0527908555980389E8,9.650226061421752E7,1.1022504736640541E8,9.693202789242181E7,9.08462254831253E7,9.245856147359453E7,9.671043201800683E7,1.1081683670261595E8,1.0217272444250058E8,9.500515628246064E7,1.0852910637168059E8,1.0133991125757723E8,1.0920123440945259E8,1.0379576802949336E8,1.0087558060546795E8,9.918261396523479E7,9.985694836367053E7,9.58774222425E7,9.217418292785217E7,9.38935682999616E7,1.1090507079144412E8,1.1318523897792976E8,1.0704353278585961E8,9.622869045007905E7,1.0132806098414193E8,9.972041826695293E7,9.646107397351642E7,1.0031357929984395E8,9.485097984878871E7,9.828181825511721E7,9.781643199910155E7,9.60280947055467E7,9.708540987355587E7,9.956899481203094E7,1.0218840102773485E8,9.64119259495301E7,9.276858677951257E7,
19,302.3054641534425,13.195711261261264,5.617747034613191E7,5.678118016923536E7,5.578187731881338E7,5.6626593673340976E7,5.673647102710257E7,6.067480541203889E7,5.8316522325561374E7,5.392016250280667E7,5.334249099744699E7,5.887022303303785E7,5.154298616331841E7,5.8744426999925695E7,5.781849308096114E7,5.1905759223690346E7,5.463007078367578E7,5.654666184661418E7,5.141096866696971E7,5.051224743152648E7,5.812989057897824E7,5.6090261477346174E7,5.152282596237901E7,5.477106901986501E7,5.983747736241679E7,5.575343903501141E7,5.165657676440366E7,5.2005049896279335E7,5.738094470978803E7,4.94996361197677E7,5.987800702615902E7,5.3562034651282296E7,5.30891738683781E7,5.314225479203022E7,5.403812410095522E7,5.3710744136576384E7,5.730577646675205E7,5.504896827545297E7,5.7678781616946705E7,
20,675.6758087430545,17.17375225225225,2.8509923716425467E7,3.307626708875115E7,3.869034947730417E7,4.3581139263984285E7,4.4186089029844396E7,3.805430078421959E7,4.056801616828068E7,3.6244465149922505E7,4.531752990593773E7,4.341377257828072E7,4.694736742367119E7,3.696213890554643E7,3.8990188003554136E7,3.523281110138621E7,3.826641523402273E7,3.996373163593969E7,3.925634314121034E7,3.955123520078285E7,3.922388418667907E7,4.160898504679649E7,4.1318862217187256E7,4.332290095042899E7,4.023126200187478E7,4.055000992132931E7,4.327699587593748E7,4.3353339627268344E7,4.083308991347619E7,3.950016788488361E7,3.6813733965663984E7,4.972876886687583E7,3.714285515593673E7,3.816438537750124E7,4.3310272421601415E7,3.9058371828438796E7,3.969922562390698E7,4.05763343799998E7,3.830830807937475E7,
21,387.1931110715837,13.275422522522526,4.825630990662696E7,4.921744651929406E7,4.986864112126295E7,5.070667630940889E7,4.8978616802456066E7,4.890691086544159E7,4.962152765556946E7,4.6625308037842326E7,4.6668968698037416E7,4.904099525328707E7,4.712788274093669E7,5.1183079887224406E7,4.836218842883174E7,4.815449604375012E7,4.5180712194863275E7,5.1894576559360094E7,4.673199489939232E7,4.329849011912308E7,5.118860766580855E7,5.081695473781073E7,4.804305892457883E7,4.8433397146647714E7,5.389042162593078E7,4.7215924160009794E7,4.852325484345088E7,4.9032614112854406E7,5.205598432748346E7,4.468776710450016E7,5.342454640857884E7,4.921729592178422E7,4.5322578677602075E7,4.7921064063783295E7,4.467325577808098E7,4.6792226276634626E7,4.6939393436459005E7,4.418235422975032E7,5.028520148122789E7,
22,353.2662516541797,16.305449099099103,2869841.4708280973,2.4398757549804842E8,2.0068560536353615E8,1.3092228474597944E8,1.9110144902042025E8,2.3620825128073207E8,2.087718120744543E8,1.7308072967765823E8,2.3681753552633554E8,2.262171796694709E8,1.8988309152002886E8,2.6151905635672876E8,2.086351964746286E8,1.8764865806880906E8,2.162152710364868E8,2.0306014123640662E8,2.0307806735887435E8,1.7890942451237822E8,2.1235626667234445E8,2.4764328448164248E8,2.0378941926876983E8,1.7873735796949586E8,1.7659134844393468E8,1.9313630591629666E8,3.143828768361213E8,3.2551377870168805E8,2.037017929950951E8,1.9711374947182417E8,1.9750992861642283E8,2.4799879064484388E8,2.6995640593696445E8,2.2294744620093456E8,2.4016609180718276E8,2.313223977307656E8,2.0855876725536212E8,2.611619083892611E8,2.4846683085163128E8,
23,534.3709208007887,18.838284313725495,1.168657894917776E8,1.4989050416586003E8,2.225229965326954E8,1.8663932671335953E8,1.7067132453339842E8,0,1.4104520247835976E8,0,2.2654923704667962E8,0,0,0,1.6889318264460936E8,1.9571931207124972E8,2.1155929070925698E8,0,0,2.2877887319843754E8,0,1.6207170370660162E8,1.7305299090218735E8,0,0,1.6947484429496133E8,2.1494459459374955E8,2.311463093727341E8,0,0,0,0,2.350423880890623E8,0,0,0,0,0,0,
24,541.3882231382566,16.225101801801806,5.780702560516356E7,5.935112576497507E7,6.220541252495711E7,5.885912121003349E7,6.2088374982591555E7,5.5988844006538294E7,6.1881306854875565E7,5.939899104640548E7,6.111587484622697E7,5.4623439914453015E7,5.884384176537942E7,5.5779673883942805E7,6.0475372911044516E7,6.047692361419913E7,6.01303919135453E7,5.4697395319582336E7,5.852325667456446E7,5.908011600200291E7,5.284637144981402E7,5.979114558415278E7,5.9433757373481095E7,6.254437400941773E7,6.350579822789899E7,5.942498494130114E7,6.044582156333464E7,6.0294028583017915E7,6.3078437372601904E7,5.859107993902283E7,5.507641235965985E7,6.167005372148461E7,6.592545790340561E7,6.1397473430841856E7,5.823827160054065E7,5.917950611878152E7,6.319134655719878E7,5.836624069321554E7,6.680177537061341E7,
25,652.671381267183,20.343087719298246,6.84658341128131E7,6.178573120921876E7,6.065555516628876E7,6.172437597402333E7,5.897398705445309E7,5.687085904757795E7,6.175169914789033E7,0,0,5.990755497515629E7,0,5.712516641652326E7,6.317344364664035E7,0,0,6.0774160701562405E7,0,0,6.178634730101546E7,6.096714978374979E7,0,0,5.829423234351568E7,6.017114190359354E7,0,0,6.129383311105489E7,0,5.895041658757791E7,0,0,0,0,0,5.702134825617193E7,0,5.81539452564846E7,
26,312.32606214290763,17.196459459459458,2.923544150580032E7,3.208001998203174E7,3.5069749075253785E7,3.7321980851992674E7,3.90590287427941E7,3.447639119437581E7,3.6932818670243725E7,3.0319009832792707E7,3.367871104017645E7,3.64691630651855E7,3.408140318183557E7,3.5932968208828025E7,3.3148342127343513E7,3.3233363733280968E7,2.9295870236327663E7,3.5782396176679395E7,3.374285093628877E7,3.1896501656270478E7,2.9895716366298813E7,3.51096495786528E7,3.4944964801416695E7,3.5056433094237864E7,3.548925827446336E7,3.2019887290800348E7,3.2803867334149864E7,3.474284756509837E7,3.805929866785166E7,3.0304161342032194E7,3.534674558808665E7,3.499598106709089E7,3.1478015203769E7,3.0604076237187266E7,3.3607200881621584E7,3.210796256121075E7,3.594322030472751E7,3.2927849404961493E7,3.477819810359376E7,
27,246.2429660657573,10.520969369369368,4.055599546780771E7,3.971310383934501E7,3.62153744025526E7,3.937810815531824E7,3.943069398170918E7,3.876468673728705E7,4.149111522595326E7,4.076515071717878E7,3.68261717528241E7,4.341193146967399E7,3.61712637870939E7,3.6016825904650524E7,3.856871694379888E7,3.998786657409778E7,4.036352338255671E7,3.985449907345424E7,3.841534857858007E7,4.094041024344538E7,4.115906038565336E7,3.867028136377753E7,3.58062945868906E7,4.181927966682027E7,3.508868371326351E7,3.71752827665235E7,3.767957250981541E7,3.7149862919044994E7,3.7765619292420916E7,3.457018526758696E7,3.942776073382019E7,3.470933260481844E7,3.437886030456821E7,3.504291113964849E7,3.8681365783031344E7,3.582123292252641E7,3.879182633271492E7,3.63268010960763E7,3.949344746976272E7,
28,432.23813993072855,11.944053153153154,3.0380496709048696E7,1.6175237321960735E8,2.19884225732163E8,2.763935971401962E8,1.1691046370971487E8,1.1921338706940362E8,1.4635658618634406E8,2.5248163831445134E8,7.428865277328512E7,1.376597074771872E8,4.0307163367296994E7,1.8554750381370398E8,8.129687753192611E7,2.3033098947373483E8,1.4199406697689557E8,3.9038092583386177E8,1.2134014293837763E8,9.661402861213337E7,8.42544423363323E7,2.2975392582127562E8,2.1027907622658324E8,5.3404471847054966E7,2.0806395800284556E8,1.018583049584164E8,3.623750027559097E8,2.1550860898876134E8,2.149487770565715E8,5.3426435661906496E7,1.7045142087904492E8,2.981730182034744E8,9.011509073797663E7,1.1076358606751946E8,1.0043255489632788E8,2.818221373124152E8,9.249710216291004E7,7.215125238090712E7,2.763549146809887E8,
29,615.5798079269064,20.346500000000002,6.5460464567656785E7,4.702483754710945E7,4.841966592144524E7,5.658440476460929E7,4.580141860753909E7,4.193345541593749E7,4.391357393484352E7,0,0,4.5615165941953115E7,0,4.5277297998593666E7,4.987262416007793E7,0,0,4.446875765562496E7,0,0,4.619642721906233E7,4.8820525158906095E7,0,0,4.631378738218755E7,4.594998978226553E7,0,0,4.398374390109385E7,0,4.3719437277812466E7,0,0,0,0,0,4.656238495351564E7,0,4.293258625070325E7,
30,685.4354420031451,18.180382882882885,3.3466528100253347E7,2.339071791332012E7,2.323842567894491E7,2.639478073066407E7,2.3518028862382803E7,2.2652482885566358E7,2.776954826876951E7,2.1108026616718344E7,2.509523438343701E7,2.0839359890547115E7,2.5945382361366674E7,2.6120270669999916E7,2.6323508669336006E7,2.4054497974960916E7,2.0698584905156817E7,2.205111410849574E7,2.422461103976548E7,1.9281487558242153E7,2.6270373990937803E7,2.2477439193046924E7,2.460559846781214E7,2.5197462802343298E7,2.5644580592851166E7,2.276424477375041E7,1.9283103551718824E7,2.1106760708828177E7,2.687944200359339E7,2.431119416050766E7,1.892124489718763E7,2.4057852899921756E7,2.264382179507807E7,2.0602373320272993E7,2.3598082851796463E7,2.1142199078086447E7,2.0474038705702815E7,2.3857429853124544E7,2.452878613828097E7,
31,228.19596575527186,11.67587072072072,4.2149595652537E7,4.040718905956637E7,3.7046419198730364E7,4.045006758224032E7,3.8375759531855464E7,3.885655647691035E7,3.857149125650795E7,3.823354252687492E7,3.497080266493542E7,3.945668554783609E7,3.768708159637502E7,3.630306711254877E7,3.7718118884994075E7,3.63999624257814E7,3.714189386092776E7,3.807826943717967E7,3.665310769345508E7,3.5501950691541016E7,3.7224909560261644E7,3.9139831379636474E7,3.704329671645705E7,3.512321220943764E7,3.522196499311901E7,3.862375705547651E7,3.778743148045307E7,3.5329640243998006E7,3.742988861558399E7,3.760589662372647E7,3.540621211401958E7,3.743961781976766E7,3.615557124108391E7,3.448650090538474E7,3.7032649552199155E7,3.737134655467193E7,3.998031554488084E7,3.881646164122933E7,4.064581792910361E7,
32,366.37290805884476,17.55104954954955,3.0801025036074374E7,1.9239788049844522E7,2.596824846958973E7,3.857606152710897E7,4.1065709886484E7,2.0867216358750943E7,3.891113826253844E7,2.74639451250783E7,3.2356835646640092E7,3.720196740519499E7,3.882140058413966E7,3.6071941333046496E7,3.714960360326122E7,3.2240517132890098E7,3.0536224168672167E7,3.867509869124993E7,2.8499375857636094E7,3.387407438722643E7,2.9365961827421714E7,3.716825715293034E7,3.600349487468679E7,2.556132486212822E7,3.4503634944023386E7,3.905617444117225E7,3.265084998519445E7,2.8286505949414443E7,3.903142445871071E7,3.466191900375028E7,2.905060090109384E7,3.493631769898514E7,2.5230903465663586E7,2.6470632258906204E7,3.2648505487812556E7,3.729719740568424E7,2.616732903414138E7,2.9437567644667722E7,2.6818997508359015E7,
33,388.3547740147918,17.551756756756756,2.7824067873984545E7,5724561.626250369,6984672.115468945,1.0816573290859124E7,1.3587392820859158E7,4945722.704219084,1.0091492856484113E7,9458291.624492161,9192700.674218506,8820650.398749832,1.5028803125526916E7,6352166.6726560695,1.000695058078095E7,9469764.092499765,1.0976316047422118E7,1.0105029832226444E7,1.0544741332362931E7,7888825.594863303,7461928.812480215,8326565.309687841,1.2549471267226176E7,8729214.400898162,6659445.7640624745,1.174840416615263E7,8398465.21968716,9642331.583320396,1.1614041924843527E7,1.3558581553711005E7,4508294.739218611,7102591.564062701,5706928.578671733,5251651.131406069,1.0107770826796819E7,1.1012314626562756E7,5249454.628125382,9061503.97425763,6027050.321718571,
