formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C10H17NO6,[M + H]+,C10H18NO6+,Amino acids and Peptides,0.942,Amino acid glycosides,0.851,Cyanogenic glycosides,0.860,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.964,Glycosyl compounds,0.615,Glycosyl compounds,0.615,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Polyols; Amines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,248.113,37,0.614,766798470505203023,766798199142110070,766798199142110069,2196,
1,C10H19NO7,[M + H]+,C10H20NO7+,Carbohydrates,0.836,Aminosugars and aminoglycosides,0.841,Aminosugars,0.884,Organic acids and derivatives,0.878,Carboxylic acids and derivatives,0.924,"Amino acids, peptides, and analogues",0.714,Amino acids and derivatives,0.716,Amino acids,0.808,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Dialkylamines; Polyols; Amines; Secondary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",266.124,37,0.616,766798885506420923,766798199213413253,766798199209218948,2200,
1,C4H7F3N3O2S,[M + H]+,C4H8F3N3O2S+,Alkaloids,0.460,Histidine alkaloids,0.149,Imidazole alkaloids,0.150,Organoheterocyclic compounds,0.934,Azoles,0.555,,,,,Azoles,0.555,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Organofluorides; Amines; Alkyl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,219.027,37,0.617,766798501450778580,766798151914238005,766798151914238004,358,
1,C7H8N4O2,[M + Na]+,C7H8N4NaO2+,Alkaloids,0.917,Pseudoalkaloids (transamidation),0.801,Purine alkaloids,0.930,Organoheterocyclic compounds,0.988,Diazines,0.609,Pyrimidines and pyrimidine derivatives,0.547,Pyrimidones,0.506,Pyrimidones,0.506,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Diazines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,203.053,37,0.620,766798376645066096,766798158184723395,766798158184723394,543,
1,C6H11NO3,[M + H]+,C6H12NO3+,Amino acids and Peptides,0.991,Small peptides,0.996,Aminoacids,0.998,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.994,Amino acids and derivatives,0.994,Alpha amino acids,0.886,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Secondary amines; Alkanolamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",146.081,37,0.621,766798352120970011,766798185082800047,766798185082800046,1583,
1,C5H14NO4P,[M + H]+,C5H15NO4P+,Fatty acids,0.800,Spingolipids,0.151,Sphingoid bases,0.690,Organic nitrogen compounds,1.000,Organonitrogen compounds,0.999,Quaternary ammonium salts,0.990,Cholines,0.829,Phosphocholines,0.843,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,184.073,37,0.621,766800253801645071,766798165243738232,766798165243738231,791,
1,C5H11NO2,[M + H]+,C5H12NO2+,Amino acids and Peptides,0.987,Small peptides,0.995,Aminoacids,0.988,Organic acids and derivatives,0.998,Carboxylic acids and derivatives,0.996,"Amino acids, peptides, and analogues",0.953,Amino acids and derivatives,0.952,Alpha amino acids,0.610,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",118.086,37,0.621,766800556642981759,766798144641313984,766798144641313983,185,
1,C5H9NO4,[M + H]+,C5H10NO4+,Amino acids and Peptides,1.000,Small peptides,1.000,Aminoacids,1.000,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.999,Amino acids and derivatives,0.999,Alpha amino acids,0.926,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",148.060,37,0.623,766803691964962320,766798159761781969,766798159761781968,595,
1,C17H22F2N4O6,[M + K]+,C17H22F2KN4O6+,Carbohydrates,0.985,Nucleosides,0.987,Pyrimidine nucleosides,0.984,Organic acids and derivatives,0.939,Carboxylic acids and derivatives,0.857,"Amino acids, peptides, and analogues",0.548,Amino acids and derivatives,0.547,Amino acids and derivatives,0.547,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Aryl fluorides; Carboxylic acid derivatives; Carboxylic acid esters; Diazines; Organofluorides; Carbonyl compounds; Hydropyrimidines; Glycosylamines; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",455.116,37,0.624,766798493179610539,766798148655263387,766798148655263386,276,
1,C8H20NO6P,[M + H]+,C8H21NO6P+,Fatty acids,0.990,Glycerophospholipids,0.958,Glycerophosphocholines,0.889,Organic nitrogen compounds,0.930,Organonitrogen compounds,0.678,Quaternary ammonium salts,0.970,Cholines,0.896,Phosphocholines,0.851,"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Polyols; Amines; 1,2-diols; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",258.110,38,0.626,766798373092490223,766798166862739876,766798166862739875,854,
1,C6H12N2O3,[M + H]+,C6H13N2O3+,Amino acids and Peptides,0.998,Small peptides,0.999,Dipeptides,0.983,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",1.000,Peptides,0.917,Dipeptides,0.799,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Alanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities",161.092,38,0.626,766798377257434587,766798206289205586,766798206289205585,2507,
1,C22H36N6O12,[M + H]+,C22H37N6O12+,Carbohydrates,0.999,Aminosugars and aminoglycosides,0.947,Aminoglycosides,0.854,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.990,Aminosaccharides,0.938,2-deoxystreptamine aminoglycosides,0.596,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Amines; Primary amines; Cyclohexanols; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",577.245,38,0.626,766800258356659368,766798212157038147,766798212157038146,2766,
1,C13H24O2,[M + Na]+,C13H24NaO2+,Terpenoids,0.834,Sesquiterpenoids,0.351,Acyclic monoterpenoids,0.076,Lipids and lipid-like molecules,0.681,Prenol lipids,0.582,,,,,Prenol lipids,0.582,Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,235.165,38,0.627,766798396983247204,766798145249488114,766798145245293809,195,
1,C10H14N4O4,[M + K]+,C10H14KN4O4+,Amino acids and Peptides,0.886,Phenylpropanoids (C6-C3),0.851,Cinnamic acid amides,0.620,Organic acids and derivatives,0.996,Carboxylic acids and derivatives,0.991,"Amino acids, peptides, and analogues",0.660,Amino acids and derivatives,0.652,Alpha amino acids and derivatives,0.674,"Organic compounds; Amino acids, peptides, and analogues; Styrenes; Alpha amino acids and derivatives; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Cinnamic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acid amides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",293.063,38,0.627,766800252916646719,766798151465447412,766798151465447411,345,
1,C10H14N2O5S2,[M + H]+,C10H15N2O5S2+,Amino acids and Peptides,0.951,Small peptides,0.760,Dipeptides,0.217,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.990,Amino acids and derivatives,0.989,N-acyl-alpha amino acids,0.649,"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",307.042,38,0.630,766798417363371024,766798153810063673,766798153810063672,410,
1,C16H16O9,[M + H]+,C16H17O9+,Shikimates and Phenylpropanoids,0.965,Coumarins,0.809,Simple coumarins,0.563,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbohydrates and carbohydrate conjugates,0.483,Glycosyl compounds,0.543,Glycosyl compounds,0.543,Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,353.084,38,0.632,766803691218376052,766798154527289762,766798154527289761,432,
1,C19H14O3S,[M + H]+,C19H15O3S+,Shikimates and Phenylpropanoids,0.996,Flavonoids,0.819,Chalcones,0.811,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbonyl compounds,0.870,Ketones,0.674,Aryl ketones,0.593,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Ketones; Phenylpropanoids and polyketides; Organic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Thioethers; Enones; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Aryl ketones; Alpha,beta-unsaturated ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Aryl thioethers; Chemical entities",323.074,38,0.633,766798380155699094,766798170398538803,766798170398538802,991,
1,C29H38O20,[M + H]+,C29H39O20+,Shikimates and Phenylpropanoids,0.907,Flavonoids,0.930,Flavonols,0.388,Phenylpropanoids and polyketides,0.859,Flavonoids,0.671,Flavonoid glycosides,0.699,Flavonoid O-glycosides,0.599,Flavonoid-3-O-glycosides,0.599,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Oligosaccharides; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities,707.209,38,0.633,766798628127148841,766798191596555539,766798191596555538,1871,
1,C12H22O11S3,[M + H]+,C12H23O11S3+,Carbohydrates,0.899,Saccharides,0.847,Disaccharides,0.499,Organic oxygen compounds,1.000,Organooxygen compounds,0.999,Carbohydrates and carbohydrate conjugates,0.994,Disaccharides,0.613,Disaccharides,0.613,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Sulfuric acid monoesters; Monosaccharides; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Sulfuric acid esters; Alkyl sulfates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,439.038,38,0.633,766798635723033710,766798157362639681,766798157362639680,517,
1,C11H17NO8,[M + H]+,C11H18NO8+,Carbohydrates,0.956,Aminosugars and aminoglycosides,0.898,Aminosugars,0.939,Organic acids and derivatives,0.960,Carboxylic acids and derivatives,0.962,"Amino acids, peptides, and analogues",0.763,Amino acids and derivatives,0.761,Alpha amino acids,0.602,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Hemiacetals; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Alpha amino acids; Amines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",292.103,38,0.633,766798937956193012,766798182264227179,766798182264227178,1462,
