SampleID,Host.genus,Species_final_nov24,Native.status,Native.status.fine,Otu,occurence,Phylum,Class,Order,Family,Genus,Database,likelihood.weight
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu45,3,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144767,Bothriochloa,Bothriochloa.ischaemum,Nonnative,Widespread.invasive,Otu45,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144771,Eragrostis,Eragrostis.lugens,Native,Native,Otu45,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu45,7,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu45,206,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu45,52,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144779,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu45,3,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Unite,NA
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu26,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu26,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144758,Setaria,Setaria.parviflora,Native,Native,Otu41,74,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu41,232,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144763,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu41,47,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144770,Eragrostis,Eragrostis.lugens,Native,Native,Otu41,100,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu41,100,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu41,614,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144758,Setaria,Setaria.parviflora,Native,Native,Otu4,1540,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu4,4303,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144760,Setaria,Setaria.parviflora,Native,Native,Otu4,2045,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144769,Bothriochloa,Bothriochloa.ischaemum,Nonnative,Widespread.invasive,Otu4,2,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144746,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu143,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144751,Urochloa,Urochloa.mosambicensis,Nonnative,Established,Otu143,4,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu143,6,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu143,5,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu143,23,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144758,Setaria,Setaria.parviflora,Native,Native,Otu143,29,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144759,Setaria,Setaria.parviflora,Native,Native,Otu143,186,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144760,Setaria,Setaria.parviflora,Native,Native,Otu143,14,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144772,Eragrostis,Eragrostis.lugens,Native,Native,Otu143,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu143,40,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu143,572,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu143,153,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Exserohilum,Tbas,0.965105429
144748,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu96,1,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu66,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu66,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu66,5,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu66,3,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144749,Paspalum,Paspalum.plicatum,Native,Native,Otu35,68,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144750,Urochloa,Urochloa.mosambicensis,Nonnative,Established,Otu35,1,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu35,1,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu35,1,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144759,Setaria,Setaria.parviflora,Native,Native,Otu35,6,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144760,Setaria,Setaria.parviflora,Native,Native,Otu35,1,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144761,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu35,1,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144763,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu35,2,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144764,Elionurus,Elionurus.tripsacoides,Native,Native,Otu35,35,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu35,33,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144768,Bothriochloa,Bothriochloa.ischaemum,Nonnative,Widespread.invasive,Otu35,3,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144770,Eragrostis,Eragrostis.lugens,Native,Native,Otu35,7,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu35,11,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144776,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu35,8,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144777,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu35,3,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144778,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu35,46,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Toxicocladosporium,Tbas,0.979549048
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu137,58,Unknown,Unknown,Unknown,Unknown,Unknown,Tbas.Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu137,2,Unknown,Unknown,Unknown,Unknown,Unknown,Tbas.Unite,NA
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu361,1,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Unite,NA
144752,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu5,101,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144753,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu5,750,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu5,2687,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144748,Megathyrsus,Megathyrsus.maximus,Nonnative,Widespread.invasive,Otu1,2,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Tbas,0.999964709
144764,Elionurus,Elionurus.tripsacoides,Native,Native,Otu1,4538,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Tbas,0.999964709
144765,Elionurus,Elionurus.tripsacoides,Native,Native,Otu1,4184,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Tbas,0.999964709
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu1,3898,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Tbas,0.999964709
144760,Setaria,Setaria.parviflora,Native,Native,Otu9,544,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144768,Bothriochloa,Bothriochloa.ischaemum,Nonnative,Widespread.invasive,Otu9,4,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144770,Eragrostis,Eragrostis.lugens,Native,Native,Otu9,839,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144771,Eragrostis,Eragrostis.lugens,Native,Native,Otu9,1083,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144772,Eragrostis,Eragrostis.lugens,Native,Native,Otu9,1314,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu186,1,Basidiomycota,Agaricomycetes,Polyporales,Incrustoporiaceae,Skeletocutis,Unite,NA
144753,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu288,3,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu288,61,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu288,82,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144761,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu288,7,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144763,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu288,45,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144768,Bothriochloa,Bothriochloa.ischaemum,Nonnative,Widespread.invasive,Otu288,281,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144776,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu288,26,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144779,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu288,1,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeoseptoriella,Tbas,0.999986555
144749,Paspalum,Paspalum.plicatum,Native,Native,Otu135,3,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Cantharellus,Tbas,0.96520976
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu135,9,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Cantharellus,Tbas,0.96520976
144776,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu135,524,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Cantharellus,Tbas,0.96520976
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu29,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu29,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144758,Setaria,Setaria.parviflora,Native,Native,Otu29,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu29,19,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144760,Setaria,Setaria.parviflora,Native,Native,Otu29,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144764,Elionurus,Elionurus.tripsacoides,Native,Native,Otu29,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu29,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144771,Eragrostis,Eragrostis.lugens,Native,Native,Otu29,21,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu29,5,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu29,21,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu29,26,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu94,3,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Unite,NA
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu94,2,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu94,1,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Unite,NA
144761,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu14,1779,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144762,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu14,606,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144763,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu14,694,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144765,Elionurus,Elionurus.tripsacoides,Native,Native,Otu382,1,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Parasola,Tbas,1
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu12,2469,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu12,2401,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu12,2640,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144758,Setaria,Setaria.parviflora,Native,Native,Otu12,4,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu12,2,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144776,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu3,973,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144777,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu3,1188,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144778,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu3,1728,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144779,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu3,748,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144780,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu3,3,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144781,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu3,479,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu646,561,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Unite,NA
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu646,65,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Unite,NA
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu646,517,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu646,1,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Unite,NA
144751,Urochloa,Urochloa.mosambicensis,Nonnative,Established,Otu246,1,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,Tbas,0.960386386
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu182,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144763,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu182,24,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu182,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu182,13,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu182,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144762,Heteropogon,Heteropogon.contortus,Nonnative,Established,Otu249,1,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu91,1,Chytridiomycota,Chytridiomycota_cls_Incertae_sedis,Chytridiomycota_ord_Incertae_sedis,Chytridiomycota_fam_Incertae_sedis,Chytridiomycota_gen_Incertae_sedis,Unite,NA
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu37,1,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Unite,NA
144758,Setaria,Setaria.parviflora,Native,Native,Otu37,21,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu37,1,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Unite,NA
144765,Elionurus,Elionurus.tripsacoides,Native,Native,Otu37,3,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Unite,NA
144749,Paspalum,Paspalum.plicatum,Native,Native,Otu141,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144764,Elionurus,Elionurus.tripsacoides,Native,Native,Otu141,19,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144765,Elionurus,Elionurus.tripsacoides,Native,Native,Otu141,4,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu141,434,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu141,8,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu141,15,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144775,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu141,38,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144778,Eragrostis,Eragrostis.secundiflora,Native,Native,Otu141,2,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unite,NA
144749,Paspalum,Paspalum.plicatum,Native,Native,Otu23,860,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144750,Urochloa,Urochloa.mosambicensis,Nonnative,Established,Otu23,2,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144751,Urochloa,Urochloa.mosambicensis,Nonnative,Established,Otu23,3,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Unite,NA
144754,Melinis,Melinis.repens,Nonnative,Widespread.invasive,Otu373,1,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144755,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu373,1,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144756,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu373,2,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144759,Setaria,Setaria.parviflora,Native,Native,Otu373,12,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144765,Elionurus,Elionurus.tripsacoides,Native,Native,Otu373,2,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu373,3,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144773,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu373,2,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144774,Aristida,Aristida.purpurea var. longesta,Native,Native,Otu373,5,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Unite,NA
144766,Elionurus,Elionurus.tripsacoides,Native,Native,Otu255,2,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Tbas,0.99663463
144757,Cenchrus,Cenchrus.ciliaris,Nonnative,Widespread.invasive,Otu20,4,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,Unite,NA
